"Name","Full Name","OID","Type","Access","Indexes","MIB Module","Description"
"unifiIfIp",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApIf.unifiIfTable.unifiIfEntry.unifiIfIp",".1.3.6.1.4.1.41112.1.6.2.1.1.3","IPADDRESS","read-only","","UBNT-UniFi-MIB",""
"unifiIfMac",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApIf.unifiIfTable.unifiIfEntry.unifiIfMac",".1.3.6.1.4.1.41112.1.6.2.1.1.4","OCTET STRING","read-only","","UBNT-UniFi-MIB",""
"unifiIfName",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApIf.unifiIfTable.unifiIfEntry.unifiIfName",".1.3.6.1.4.1.41112.1.6.2.1.1.5","DISPLAYSTRING","read-only","","UBNT-UniFi-MIB",""
"unifiIfRxBytes",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApIf.unifiIfTable.unifiIfEntry.unifiIfRxBytes",".1.3.6.1.4.1.41112.1.6.2.1.1.6","COUNTER32","read-only","","UBNT-UniFi-MIB",""
"unifiIfRxDropped",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApIf.unifiIfTable.unifiIfEntry.unifiIfRxDropped",".1.3.6.1.4.1.41112.1.6.2.1.1.7","COUNTER32","read-only","","UBNT-UniFi-MIB",""
"unifiIfRxError",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApIf.unifiIfTable.unifiIfEntry.unifiIfRxError",".1.3.6.1.4.1.41112.1.6.2.1.1.8","COUNTER32","read-only","","UBNT-UniFi-MIB",""
"unifiIfRxMulticast",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApIf.unifiIfTable.unifiIfEntry.unifiIfRxMulticast",".1.3.6.1.4.1.41112.1.6.2.1.1.9","COUNTER32","read-only","","UBNT-UniFi-MIB",""
"unifiIfRxPackets",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApIf.unifiIfTable.unifiIfEntry.unifiIfRxPackets",".1.3.6.1.4.1.41112.1.6.2.1.1.10","COUNTER32","read-only","","UBNT-UniFi-MIB",""
"unifiIfSpeed",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApIf.unifiIfTable.unifiIfEntry.unifiIfSpeed",".1.3.6.1.4.1.41112.1.6.2.1.1.11","INTEGER32","read-only","","UBNT-UniFi-MIB",""
"unifiIfTxBytes",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApIf.unifiIfTable.unifiIfEntry.unifiIfTxBytes",".1.3.6.1.4.1.41112.1.6.2.1.1.12","COUNTER32","read-only","","UBNT-UniFi-MIB",""
"unifiIfTxDropped",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApIf.unifiIfTable.unifiIfEntry.unifiIfTxDropped",".1.3.6.1.4.1.41112.1.6.2.1.1.13","COUNTER32","read-only","","UBNT-UniFi-MIB",""
"unifiIfTxError",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApIf.unifiIfTable.unifiIfEntry.unifiIfTxError",".1.3.6.1.4.1.41112.1.6.2.1.1.14","COUNTER32","read-only","","UBNT-UniFi-MIB",""
"unifiIfTxPackets",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApIf.unifiIfTable.unifiIfEntry.unifiIfTxPackets",".1.3.6.1.4.1.41112.1.6.2.1.1.15","COUNTER32","read-only","","UBNT-UniFi-MIB",""
"unifiIfUp",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApIf.unifiIfTable.unifiIfEntry.unifiIfUp",".1.3.6.1.4.1.41112.1.6.2.1.1.16","INTEGER","read-only","","UBNT-UniFi-MIB",""
"unifiApSystem",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApSystem",".1.3.6.1.4.1.41112.1.6.3",,,"","UBNT-UniFi-MIB",""
"unifiApSystemIp",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApSystem.unifiApSystemIp",".1.3.6.1.4.1.41112.1.6.3.1","IPADDRESS","read-only","","UBNT-UniFi-MIB",""
"unifiApSystemIsolated",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApSystem.unifiApSystemIsolated",".1.3.6.1.4.1.41112.1.6.3.2","INTEGER","read-only","","UBNT-UniFi-MIB",""
"unifiApSystemModel",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApSystem.unifiApSystemModel",".1.3.6.1.4.1.41112.1.6.3.3","DISPLAYSTRING","read-only","","UBNT-UniFi-MIB",""
"unifiApSystemUplink",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApSystem.unifiApSystemUplink",".1.3.6.1.4.1.41112.1.6.3.4","DISPLAYSTRING","read-only","","UBNT-UniFi-MIB",""
"unifiApSystemUptime",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApSystem.unifiApSystemUptime",".1.3.6.1.4.1.41112.1.6.3.5","COUNTER32","read-only","","UBNT-UniFi-MIB",""
"unifiApSystemVersion",".iso.org.dod.internet.private.enterprises.ubnt.ubntMIB.ubntUniFi.unifiApSystem.unifiApSystemVersion",".1.3.6.1.4.1.41112.1.6.3.6","DISPLAYSTRING","read-only","","UBNT-UniFi-MIB",""
